url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/ttc-brother-37g-clicky-plate-mount-lubed-switch	TTC Brother 37g Clicky Plate Mount Lubed Switch	$0.65	MX	Clicky	3	37 cN	Yes	Blue
https://mechanicalkeyboards.com/products/ttc-quick-silver-45g-linear-lubed-plate-mount	TTC Quick Silver 45g Linear Lubed Plate Mount Switch	$0.60	MX	Linear	3	45 cN	No	Grey
https://mechanicalkeyboards.com/products/ttc-frozen-silent-39g-linear-plate-mount-lubed-switch	TTC Frozen Silent 39g Linear Plate Mount Lubed Switch	$0.80	MX	Linear	3	39 cN	No	Clear
https://mechanicalkeyboards.com/products/kailh-speed-copper-50g-tactile	Kailh Speed Copper 50g Tactile Switch	$0.33	MX	Tactile		50 cN	No	
https://mechanicalkeyboards.com/products/kailh-choc-white-50g-low-profile-clicky	Kailh Choc White 50g Low Profile Clicky Switch	$0.40	CHOC	Clicky		50 cN	No	White
https://mechanicalkeyboards.com/products/gateron-zero-degree-fully-silent-45g-silent-linear-pcb-mount-switch	Gateron Zero Degree Fully Silent 45g Silent Linear PCB Mount Switch	$0.65	MX	Linear	5	45 cN	Yes	Grey
https://mechanicalkeyboards.com/products/wuque-studio-pom-45g-linear	Wuque Studio POM+ 45g Linear Switch	$0.47	MX	Linear	5	45 cN	No	Purple
https://mechanicalkeyboards.com/products/wuque-studio-white-silent-50g-linear-pcb-mount	Wuque Studio White Silent 50g Linear PCB Mount Switch	$0.42	MX	Linear	5	50 cN	Yes	White
https://mechanicalkeyboards.com/products/kailh-canary-60g-tactile-pcb-mount-switch	Kailh Canary 60g Tactile PCB Mount Switch	$0.70	MX	Tactile	5	60 cN	No	Grey
https://mechanicalkeyboards.com/products/durock-creamy-purple-67g-linear-pcb-mount	Durock Creamy Purple 67g Linear PCB Mount Switch	$0.60	MX	Linear	5	67 cN	No	Purple
https://mechanicalkeyboards.com/products/kailh-box-silent-brown-45g-tactile-plate-mount	Kailh BOX Silent Brown 45g Tactile Plate Mount Switch	$0.50	MX	Tactile	3	45 cN	Yes	Brown
https://mechanicalkeyboards.com/products/kailh-speed-pro-purple-50g-tactile-plate-mount	Kailh Speed Pro Purple 50g Tactile Plate Mount Switch	$0.33	MX	Tactile	3	50 cN	No	Purple
https://mechanicalkeyboards.com/products/akko-rosewood-45-pack	Akko Rosewood 40g Linear PCB Mount Switch 45 Pack	$13.99	MX	Linear	5	40 cN		Beige
https://mechanicalkeyboards.com/products/akko-creamy-blue-pro-v3-45-pack	Akko Creamy Blue Pro V3 45g Tactile PCB Mount Switch 45 Pack	$8.99	MX	Tactile	5	45 cN		Blue
https://mechanicalkeyboards.com/products/gateron-sea-salt-smoothie	Gateron Sea Salt Smoothie 48g Linear PCB Mount Switch	$0.30	MX	Linear	5	48 cN		Blue
https://mechanicalkeyboards.com/products/wuque-studio-jade-50g-linear	Wuque Studio Jade 50g Linear Switch	$0.46	MX	Linear	5	50 cN	No	Green
https://mechanicalkeyboards.com/products/gateron-grayish-switch	Gateron Grayish 59g Tactile Lubed Switch	$0.28	MX	Tactile	5	59 cN	No	White
https://mechanicalkeyboards.com/products/gateron-cap-v2-milky-brown-55g-tactile-pcb-mount-switch	Gateron Cap V2 Milky Brown 55g Tactile PCB Mount Switch	$0.40	MX	Tactile	5	55 cN	No	Brown
https://mechanicalkeyboards.com/products/kailh-box-hush-v3-silent-50g-linear-plate-mount-lubed-switch	Kailh BOX Hush V3 Silent 50g Linear Plate Mount Lubed Switch	$0.75	MX	Linear	3	50 cN	Yes	White
https://mechanicalkeyboards.com/products/gateron-green-80g-clicky-plate-mount	Gateron Green 80g Clicky Plate Mount Switch	$0.85	MX	Clicky	3	80 cN	No	Green
https://mechanicalkeyboards.com/products/kailh-choc-brown-60g-low-profile-tactile	Kailh Choc Brown 60g Low Profile Tactile Switch	$0.40	CHOC	Tactile		60 cN	No	Brown
https://mechanicalkeyboards.com/products/kailh-box-noble-yellow-55g-clicky-plate-mount	Kailh BOX Noble Yellow 55g Clicky Plate Mount Switch	$0.50	MX	Clicky	3	55 cN	No	Yellow
https://mechanicalkeyboards.com/products/meletrix-akuamarin-linear-pcb-mount	Meletrix Akuamarin Linear PCB Mount Switch	$0.55	MX	Linear	5		No	Blue
https://mechanicalkeyboards.com/products/gateron-g-pro-30-black-60g-linear-pcb-mount	Gateron G Pro 3.0 Black 60g Linear PCB Mount Switch	$0.30	MX	Linear	5	60 cN	No	Black
https://mechanicalkeyboards.com/products/gateron-lunar-probe-45g-linear-lubed-switch	Gateron Lunar Probe 45g Linear Lubed Switch	$0.60	MX	Linear	5	45 cN	No	Yellow
https://mechanicalkeyboards.com/products/ttc-heart-switches-linear-lubed-plate-mount	TTC Heart Switches Linear Lubed Plate Mount	$0.90	MX	Linear	3	42 cN	No	Clear
https://mechanicalkeyboards.com/products/ttc-low-profile-brown-45g-tactile-switch	TTC Low Profile Brown 45g Tactile Switch	$0.50	MX	Tactile		45 cN	No	Brown
https://mechanicalkeyboards.com/products/ttc-golden-brown-v3-55g-tactile-plate-mount-lubed-switch	TTC Golden Brown V3 55g Tactile Plate Mount Lubed Switch	$0.60	MX	Tactile	3	55 cN	No	Brown
https://mechanicalkeyboards.com/products/kailh-speed-gold-50g-clicky	Kailh Speed Gold 50g Clicky Switch	$0.75	MX	Clicky		50 cN	No	Gold
https://mechanicalkeyboards.com/products/kailh-box-glazed-green-45g-clicky-plate-mount	Kailh Box Glazed Green 45g Clicky Plate Mount Switch	$0.50	MX	Clicky	3	45 cN	No	Green
https://mechanicalkeyboards.com/products/akko-creamy-yellow-pro-v3-45-pack	Akko Creamy Yellow Pro V3 50g Linear Switch 45 Pack	$8.99	MX	Linear		50 cN		Yellow
https://mechanicalkeyboards.com/products/gateron-cap-anniversary-switch	Gateron CAP Anniversary 50g Linear PCB Mount Lubed Switch	$0.49	MX	Linear	5	50 cN	No	Green
https://mechanicalkeyboards.com/products/kailh-red-bean-pudding-45g-linear-pcb-mount-switch	Kailh Red Bean Pudding 45g Linear PCB Mount Switch	$0.50	MX	Linear	5	45 cN	No	Red
https://mechanicalkeyboards.com/products/kailh-box-red-45g-linear-plate-mount	Kailh BOX Red 45g Linear Plate Mount Switch	$0.35	MX	Linear	3	45 cN	No	Red
https://mechanicalkeyboards.com/products/akko-lavender-purple-pro-v3-45-pack	Akko Lavender Purple Pro V3 40g Tactile PCB Mount Switch 45 Pack	$9.99	MX	Tactile	5	40 cN		Purple
